ＪＡＮコード,商品名称,規格,値引,値引期間,プラスポイント,PP期間,ポイント倍率,倍期間
4901301446466 ,ＳＦｉＰゴールデンタイムリペア深夜浸透クリーム,５５ｇ,-,-,-,-,5,7/15まで
4901301422941 ,ＳＦｉＰ　角層トリートメント　基礎化粧液,１６０ｍｌ,-,-,-,-,5,7/15まで
4901301412829 ,ソフィーナ　ｉＰ　ベースケア　セラム　９０Ｇ,９０ｇ,-,-,-,-,5,7/15まで
4901301413161 ,ＭＫＳＦｉＰベースケアセラム土台美容液２２５ｇ限定,２２５ｇ,-,-,-,-,5,7/15まで
4901301423085 ,ソフィーナ　ｉＰ　ベースケア　セラム　５５Ｇ企画品,５５ｇ,-,-,-,-,5,7/15まで
4901301447548 ,ＳＦｉＰ角層ＴＲ基礎化粧液＋クリームピロー付限定,１６１．２ｍｌ,-,-,-,-,5,7/15まで
4901301446084 ,ＳＦｉＰ角層トリートメント基礎化粧液ＢＩＧポンプ,３２０ｍｌ,-,-,-,-,5,7/15まで
4901301446473 ,ＳＦｉＰ　深夜浸透クリーム　レフィル,５５ｇ,-,-,-,-,5,7/15まで
4901301431509 ,ＳＦｉＰ　角層トリートメント　基礎化粧液レフィル,１５０ｍｌ,-,-,-,-,5,7/15まで
4901301412867 ,ＳＦｉＰ　ベースケア　セラム　レフィル９０Ｇ,９０ｇ,-,-,-,-,5,7/15まで
4901301412850 ,ＳＦｉＰ　ベースケア　セラム　レフィル１８０Ｇ,１８０ｇ,-,-,-,-,5,7/15まで
4901301416452 ,ＭＫＳＦｉＰベースケアセラムレフィル２２５Ｇ限定品,２２５ｇ,-,-,-,-,5,7/15まで
4901301435200 ,ＳＦｉＰ　土台レフィル＋化粧液ミニセット限定品,１２０ｇ,-,-,-,-,5,7/15まで
4901301446336 ,ＳＦｉＰ角層トリートメント基礎化粧液ＢＩＧレフィル,３００ｍｌ,-,-,-,-,5,7/15まで
4901301459046 ,ＳＦｉＰ　ベースケア　セラム＋化粧液ミニ,１２０ｇ,-,-,-,-,5,7/15まで
4901301459497 ,ＭＫＳＦｉＰ角層トリートメント基礎化粧液超ＢＩＧポ,４８０ｍｌ,-,-,-,-,5,7/15まで
4901301461063 ,ＳＦｉＰ　深夜浸透クリーム　＋　化粧液ピロー限定品,５７．４ｇ,-,-,-,-,5,7/15まで
4901301423511 ,ＳＦｉＰ　ベースケア　セラム　２２５Ｇ限定品,２２５ｇ,-,-,-,-,5,7/15まで
4901301464439 ,ＳＦｉＰ土台美容液レフィル１８０Ｇ＋泡洗顔ミニ,２１０ｇ,-,-,-,-,5,7/15まで
4901301449634 ,ソフィーナ　ｉＰ　水光ピーリング泡セラム,１２０ｇ,-,-,-,-,5,7/15まで
4901301449641 ,ソフィーナ　ｉＰ　水光ピーリング泡セラム　レフィル,１２０ｇ,-,-,-,-,5,7/15まで
4901301449658 ,ソフィーナｉＰ水光ピーリング泡セラム　５５ｇＴＲ,５５ｇ,-,-,-,-,5,7/15まで
4901301398505 ,ＳＦｉＰ　ポア　クリアリング　ジェル　ウォッシュ,３０ｇ,-,-,-,-,10,7/15まで
4901301423207 ,ＳＦｉＰ　ポア　クリアリング　Ｇウォッシュ大容量,５１ｇ,-,-,-,-,10,7/15まで
4901301463968 ,ソフィーナ　ｉＰ　マイクロ泡セラム洗顔料,１６０ｇ,-,-,-,-,10,7/15まで
4901301463975 ,ソフィーナ　ｉＰ　マイクロ泡セラム洗顔料　レフィル,２４０ｇ,-,-,-,-,10,7/15まで
4901301423917 ,ＳＦｉＰスキンケアＵＶ　０３シミができやすい肌環境,３０ｇ,-,-,-,-,10,7/15まで
4901301448637 ,ＳＦｉＰ　スキンケアＵＶ　０１乾燥しがちな肌環境,３０ｇ,-,-,-,-,10,7/15まで
4901301448644 ,ＳＦｉＰ　スキンケアＵＶ　０２皮脂がでやすい肌環境,３０ｍｌ,-,-,-,-,10,7/15まで
4901301470706 ,ＭＫＰＶスキンＰＢ　超オイリー肌用　クール,２５ｍｌ,-,-,-,-,10,7/15まで
4901301463920 ,プリマヴィスタ角層保水プライマーシアーベージュ,２５ｇ,-,-,-,-,10,7/15まで
4901301464736 ,プリマヴィスタ　セバムオフ　クリアキープパウダー,５ｇ,-,-,-,-,10,7/15まで
4901301464163 ,プリマ　ピンポイントセバムオフスティック,６．１ｇ,-,-,-,-,10,7/15まで
4901301467065 ,ＰＶスキンＰベースＵＶ５０ＥＸベージュ（ミュウ）,２５ｍｌ,-,-,-,-,10,7/15まで
4901301467072 ,ＰＶスキンＰベースＵＶ５０ＥＸラベンダー（プリン）,２５ｍｌ,-,-,-,-,10,7/15まで
4901301467089 ,ＰＶスキンＰベースＵＶ５０ＥＸグリーン（ピッピ）,２５ｍｌ,-,-,-,-,10,7/15まで
